DCODE,NAME,AREA,WKT,AUTHORITY,ELLIPSOID,DELTAX,SIGMAX,DELTAY,SIGMAY,DELTAZ,SIGMAZ,NORTH,SOUTH,WEST,EAST,ROTX,ROTY,ROTZ,SCALE,SOURCE,DESCRIPTION
DEUR-E,European 1950, Cyprus,,,intl,-104,15,-101,15,-140,15,33,37,31,36,0,0,0,0,default,
DEUR-F,European 1950, Egypt,,,intl,-130,6,-117,8,-151,8,16,38,19,42,0,0,0,0,default,
DEUR-G,European 1950, England; Channel,,,intl,-86,3,-96,3,-120,3,48,62,-10,3,0,0,0,0,default,
DEUR-H,European 1950, Iran,,,intl,-117,9,-132,12,-164,11,19,47,37,69,0,0,0,0,default,
DEUR-I,European 1950, Sardinia(Italy),,,intl,-97,25,-103,25,-120,25,37,43,6,12,0,0,0,0,default,
DEUR-J,European 1950, Sicily(Italy),,,intl,-97,20,-88,20,-135,20,35,40,10,17,0,0,0,0,default,
DEUR-K,European 1950, England; Ireland,,,intl,-86,3,-96,3,-120,3,48,62,-12,3,0,0,0,0,default,
DEUR-L,European 1950, Malta,,,intl,-107,25,-88,25,-149,25,34,38,12,16,0,0,0,0,default,
DEUR-S,European 1950, Iraq; Israel,,,intl,-103,-1,-106,-1,-141,-1,20,48,24,60,0,0,0,0,default,
DEUR-T,European 1950, Tunisia,,,intl,-112,25,-77,25,-145,25,24,43,2,18,0,0,0,0,default,
DEUS,European 1979,,,,intl,-86,3,-98,3,-119,3,30,80,-15,24,0,0,0,0,default,
DFAH,Oman,,,,clrk80,-346,3,-1,3,224,9,10,32,46,65,0,0,0,0,default,
DFLO,Observatorio met. 1939, Flores,,,intl,-425,20,-169,20,81,20,38,41,-33,-30,0,0,0,0,default,
DFOT,Fort thomas 1955, Leeward Is.,,,clrk80,-7,25,215,25,225,25,16,19,-64,-61,0,0,0,0,default,
DGAA,Gan 1970, Rep. of Maldives,,,intl,-133,25,-321,25,50,25,-2,9,71,75,0,0,0,0,default,
DGEO,Geodetic datum 1949, NZ,New_Zealand_Geodetic_Datum_1949 ,EPSG:6272,intl,84,5,-22,3,209,5,-48,-33,165,180,0,0,0,0,default,
DGIZ,Dos 1968, Gizo Island,,,intl,230,25,-199,25,-752,25,-10,-7,155,158,0,0,0,0,default,
DGRA,Graciosa base sw 1948, Azores,,,intl,-104,3,167,3,-38,3,37,41,-30,-26,0,0,0,0,default,
DGUA,Guam 1963,,,,clrk66,-100,3,-248,3,259,3,12,15,143,146,0,0,0,0,default,
DGSE,Gunung segara, Indonesia,,,bessel,-403,-1,684,-1,41,-1,-6,9,106,121,0,0,0,0,default,
DHEN,Herat north, Afghanistan,,,intl,-333,-1,-222,-1,114,-1,23,44,55,81,0,0,0,0,default,
DHER,Hermannskogel, old Yugoslavia,,,bessel,682,-1,-203,-1,480,-1,35,52,7,29,0,0,0,0,default,
DHIT,Provisional south chilean 1963,,,,intl,16,25,196,25,93,25,-64,-25,-83,-60,0,0,0,0,default,
DHJO,Hjorsey 1955, Iceland,,,intl,-73,3,46,3,-86,6,61,69,-27,-11,0,0,0,0,default,
DHKD,Hong kong 1963,,,,intl,-156,25,-271,25,-189,25,21,24,112,116,0,0,0,0,default,
DHTN,Hu-tzu-shan, Taiwan,,,intl,-637,15,-549,15,-203,15,20,28,117,124,0,0,0,0,default,
DIBE,Bellevue (ign), Efate Is.,,,intl,-127,20,-769,20,472,20,-20,-16,167,171,0,0,0,0,default,
DIDN,Indonesian 1974,,,,ELLID,-24,25,-15,25,5,25,-16,11,89,146,0,0,0,0,default,
DIND-B,Indian, Bangladesh,,,evrst30,282,10,726,8,254,12,15,33,80,100,0,0,0,0,default,
DIND-I,Indian, India & Nepal,,,evrst56,295,12,736,10,257,15,2,44,62,105,0,0,0,0,default,
DIND-P,Indian, Pakistan,,,ELLEF,283,-1,682,-1,231,-1,17,44,55,81,0,0,0,0,default,
DINF-A,Indian 1954, Thailand,,,evrst30,217,15,823,6,299,12,0,27,91,111,0,0,0,0,default,
DING-A,Indian 1960, Vietnam 16N,,,evrst30,198,25,881,25,317,25,2,30,101,115,0,0,0,0,default,
DING-B,Indian 1960, Con Son Island,,,evrst30,182,25,915,25,344,25,6,11,104,109,0,0,0,0,default,
DINH-A,Indian 1975, Thailand,,,evrst30,209,12,818,10,290,12,0,27,91,111,0,0,0,0,default,
DINH-A1,Indian 1975, Thailand,,,evrst30,210,3,814,2,289,3,0,27,91,111,0,0,0,0,default,
DIRL,Ireland 1965,,Geodetic_Datum_of_1965,EPSG:6300,ELLAM,506,3,-122,3,611,3,50,57,-12,-4,0,0,0,0,default,
DISG,Ists 061 astro 1968, S Georgia,,,intl,-794,25,119,25,-298,25,-56,-52,-38,-34,0,0,0,0,default,
DIST,Ists 073 astro 1969, Diego Garc,,,intl,208,25,-435,25,-229,25,-10,-4,69,75,0,0,0,0,default,
DJOH,Johnston island 1961,,,,intl,189,25,-79,25,-202,25,15,19,-171,-168,0,0,0,0,default,
DKAN,Kandawala, Sri Lanka,,,evrst30,-97,20,787,20,86,20,4,12,77,85,0,0,0,0,default,
DKEG,Kerguelen island 1949,,,,intl,145,25,-187,25,103,25,-52,-47,65,74,0,0,0,0,default,
DKEA,Kertau 1948, W Malaysia & Sing.,,,ELLEE,-11,10,851,8,5,6,-5,12,94,112,0,0,0,0,default,
DKUS,Kusaie astro 1951, Caroline Is.,,,intl,647,25,1777,25,-1124,25,-1,12,134,167,0,0,0,0,default,
DLCF,L.c. 5 astro 1961, Cayman Brac,,,clrk66,42,25,124,25,147,25,18,21,-83,-78,0,0,0,0,default,
DLEH,Leigon, Ghana,,,clrk80,-130,2,29,3,364,2,-1,17,-9,7,0,0,0,0,default,
DLIB,Liberia 1964,,,,clrk80,-90,15,40,15,88,15,-1,14,-17,-1,0,0,0,0,default,
DLUZ-A,Luzon, Philippines,,,clrk66,-133,8,-77,11,-51,9,3,23,115,128,0,0,0,0,default,
DLUZ-B,Luzon, Mindanao Island,,,clrk66,-133,25,-79,25,-72,25,4,12,120,128,0,0,0,0,default,
DMAS,Massawa, Ethiopia,,,bessel,639,25,405,25,60,25,7,25,37,53,0,0,0,0,default,
DMER,Merchich, Morocco,,,clrk80,31,5,146,3,47,3,22,42,-19,5,0,0,0,0,default,
DMID,Midway astro 1961, Midway Is.,,,intl,403,25,-81,25,277,25,25,30,-180,-169,0,0,0,0,default,
DMIK,Mahe 1971, Mahe Is.,,,clrk80,41,25,-220,25,-134,25,-6,-3,54,57,0,0,0,0,default,
DMIN-A,Minna, Cameroon,,,clrk80,-81,25,-84,25,115,25,-4,19,3,23,0,0,0,0,default,
DMIN-B,Minna, Nigeria,,,clrk80,-92,3,-93,6,122,5,-1,21,-4,20,0,0,0,0,default,
DMOD,Rome 1940, Sardinia,,,intl,-225,25,-65,25,9,25,37,43,6,12,0,0,0,0,default,
DMPO,Mporaloko, Gabon,,,clrk80,-74,25,-130,25,42,25,-10,8,3,20,0,0,0,0,default,
DMVS,Viti levu 1916, Viti Levu Is.,,,clrk80,51,25,391,25,-36,25,-20,-16,176,180,0,0,0,0,default,
DNAH-A,Nahrwan, Masirah Island (Oman),,,clrk80,-247,25,-148,25,369,25,19,22,57,60,0,0,0,0,default,
DNAH-B,Nahrwan, United Arab Emirates,,,clrk80,-249,25,-156,25,381,25,17,32,45,62,0,0,0,0,default,
DNAH-C,Nahrwan, Saudi Arabia,,,clrk80,-243,20,-192,20,477,20,8,38,28,62,0,0,0,0,default,
DNAP,Naparima, Trinidad & Tobago,,,intl,-10,15,375,15,165,15,8,13,-64,-59,0,0,0,0,default,
DNAR-A,North american 1983, Alaska,,,ELLRF,0,2,0,2,0,2,48,78,-175,-135,0,0,0,0,default,
DNAR-B,North american 1983, Canada,,,ELLRF,0,2,0,2,0,2,36,90,-150,-50,0,0,0,0,default,
DNAR-C,North american 1983, CONUS,,,ELLRF,0,2,0,2,0,2,15,60,-135,-60,0,0,0,0,default,
DNAR-D,North american 1983, Mexico,,,ELLRF,0,2,0,2,0,2,11,35,-122,-72,0,0,0,0,default,
DNAR-E,North american 1983, Aleutian,,,ELLRF,-2,5,0,2,4,5,51,74,-180,180,0,0,0,0,default,
DNAR-H,North american 1983, Hawaii,,,ELLRF,1,2,1,2,-1,2,17,24,-164,-153,0,0,0,0,default,
DNAS-A,North american 1927, Eastern US,,,clrk66,-9,5,161,5,179,8,18,55,-102,-60,0,0,0,0,default,
DNAS-B,North american 1927, Western US,,,clrk66,-8,5,159,3,175,3,19,55,-132,-87,0,0,0,0,default,
DNAS-C,North american 1927, CONUS,,,clrk66,-8,5,160,5,176,6,15,60,-135,-60,0,0,0,0,default,
DNAS-D,North american 1927, Alaska,,,clrk66,-5,5,135,9,172,5,47,78,-175,-130,0,0,0,0,default,
DNAS-E,North american 1927, Canada,,,clrk66,-10,15,158,11,187,6,36,90,-150,-50,0,0,0,0,default,
